"Continent","Continent ID","Country","Country ID","ISO 3","Trade Value","Year"
"Africa","af","Algeria","afdza","dza",34001977,2023
"Africa","af","Egypt","afegy","egy",1985358206,2023
"Africa","af","Libya","aflby","lby",106931017,2023
"Africa","af","Morocco","afmar","mar",75627758,2023
"Africa","af","Sudan","afsdn","sdn",4464429,2023
"Africa","af","Tunisia","aftun","tun",259574507,2023
"Africa","af","Burundi","afbdi","bdi",6650,2023
"Africa","af","Comoros","afcom","com",244241,2023
"Africa","af","Djibouti","afdji","dji",11169888,2023
"Africa","af","Ethiopia","afeth","eth",105916831,2023
"Africa","af","Kenya","afken","ken",66839805,2023
"Africa","af","Madagascar","afmdg","mdg",1245808,2023
"Africa","af","Mozambique","afmoz","moz",4039867,2023
"Africa","af","Mauritius","afmus","mus",6685615,2023
"Africa","af","Malawi","afmwi","mwi",401591,2023
"Africa","af","Rwanda","afrwa","rwa",423967,2023
"Africa","af","Somalia","afsom","som",1053979,2023
"Africa","af","South Sudan","afssd","ssd",1232907,2023
"Africa","af","Seychelles","afsyc","syc",2146647,2023
"Africa","af","Tanzania","aftza","tza",24518437,2023
"Africa","af","Uganda","afuga","uga",27911591,2023
"Africa","af","Angola","afago","ago",13640057,2023
"Africa","af","Central African Republic","afcaf","caf",2119297,2023
"Africa","af","Cameroon","afcmr","cmr",7431602,2023
"Africa","af","Democratic Republic of the Congo","afcod","cod",4185068,2023
"Africa","af","Republic of the Congo","afcog","cog",2802467,2023
"Africa","af","Gabon","afgab","gab",5560207,2023
"Africa","af","Equatorial Guinea","afgnq","gnq",2321969,2023
"Africa","af","Sao Tome and Principe","afstp","stp",3010,2023
"Africa","af","Chad","aftcd","tcd",650.9999999999999,2023
"Africa","af","Botswana","afbwa","bwa",138669,2023
"Africa","af","Lesotho","aflso","lso",34273,2023
"Africa","af","Namibia","afnam","nam",458652,2023
"Africa","af","Eswatini","afswz","swz",9128,2023
"Africa","af","South Africa","afzaf","zaf",14220477,2023
"Africa","af","Zambia","afzmb","zmb",355058,2023
"Africa","af","Zimbabwe","afzwe","zwe",19828379,2023
"Africa","af","Benin","afben","ben",1346981,2023
"Africa","af","Burkina Faso","afbfa","bfa",15759994,2023
"Africa","af","Cote d'Ivoire","afciv","civ",21917462,2023
"Africa","af","Cape Verde","afcpv","cpv",550118,2023
"Africa","af","Ghana","afgha","gha",15031891,2023
"Africa","af","Guinea","afgin","gin",2162987,2023
"Africa","af","Gambia","afgmb","gmb",1933989,2023
"Africa","af","GuineaBissau","afgnb","gnb",291225,2023
"Africa","af","Liberia","aflbr","lbr",2897167,2023
"Africa","af","Mali","afmli","mli",1587210,2023
"Africa","af","Mauritania","afmrt","mrt",20705749,2023
"Africa","af","Niger","afner","ner",323222,2023
"Africa","af","Nigeria","afnga","nga",5346151,2023
"Africa","af","Senegal","afsen","sen",27838693,2023
"Africa","af","Sierra Leone","afsle","sle",2292522,2023
"Africa","af","Togo","aftgo","tgo",8493731,2023
"Asia","as","Kazakhstan","askaz","kaz",291323191,2023
"Asia","as","Kyrgyzstan","askgz","kgz",36628732,2023
"Asia","as","Tajikistan","astjk","tjk",12092102,2023
"Asia","as","Turkmenistan","astkm","tkm",40180953,2023
"Asia","as","Uzbekistan","asuzb","uzb",145184796,2023
"Asia","as","China","aschn","chn",2465489655,2023
"Asia","as","Hong Kong","ashkg","hkg",26837605,2023
"Asia","as","Japan","asjpn","jpn",58152551,2023
"Asia","as","South Korea","askor","kor",98904347,2023
"Asia","as","Macau","asmac","mac",574500,2023
"Asia","as","Mongolia","asmng","mng",9297065,2023
"Asia","as","Chinese Taipei","astwn","twn",34789356,2023
"Asia","as","Brunei","asbrn","brn",488211,2023
"Asia","as","Indonesia","asidn","idn",132645163.00000001,2023
"Asia","as","Cambodia","askhm","khm",2267283,2023
"Asia","as","Laos","aslao","lao",7546,2023
"Asia","as","Burma","asmmr","mmr",12292043,2023
"Asia","as","Malaysia","asmys","mys",159444704,2023
"Asia","as","Philippines","asphl","phl",19072091,2023
"Asia","as","Singapore","assgp","sgp",66014988,2023
"Asia","as","Thailand","astha","tha",46431055,2023
"Asia","as","Vietnam","asvnm","vnm",68567658,2023
"Asia","as","Afghanistan","asafg","afg",1045546,2023
"Asia","as","Bangladesh","asbgd","bgd",211022420,2023
"Asia","as","India","asind","ind",574169112,2023
"Asia","as","Iran","asirn","irn",1688154,2023
"Asia","as","Sri Lanka","aslka","lka",29782166.000000004,2023
"Asia","as","Maldives","asmdv","mdv",1577088,2023
"Asia","as","Nepal","asnpl","npl",23854723,2023
"Asia","as","Pakistan","aspak","pak",138688446.99999997,2023
"Asia","as","United Arab Emirates","asare","are",249510872,2023
"Asia","as","Armenia","asarm","arm",76628463,2023
"Asia","as","Azerbaijan","asaze","aze",201558500,2023
"Asia","as","Bahrain","asbhr","bhr",4553381,2023
"Asia","as","Georgia","asgeo","geo",268033289,2023
"Asia","as","Iraq","asirq","irq",193759807,2023
"Asia","as","Israel","asisr","isr",335247579,2023
"Asia","as","Jordan","asjor","jor",109568976,2023
"Asia","as","Kuwait","askwt","kwt",28892869,2023
"Asia","as","Lebanon","aslbn","lbn",278420822,2023
"Asia","as","Oman","asomn","omn",16602549,2023
"Asia","as","Palestine","aspse","pse",11961540,2023
"Asia","as","Qatar","asqat","qat",36840168,2023
"Asia","as","Saudi Arabia","assau","sau",373902784,2023
